Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,59.561111,60.472221,58.722221,59.733334,58.826736,37100860
2020-01-03,59.733334,61.216667,58.872223,60.861111,59.937397,32551520
2020-01-06,61.833332,63.611111,59.888889,60.605556,59.685719,47700360
2020-01-07,60.561111,60.911110,59.672222,60.277779,59.362923,24313579
2020-01-08,60.561111,61.944443,59.500000,60.888889,59.964756,34603322
2020-01-09,62.222221,64.166664,61.116665,63.888889,62.919220,36295831
2020-01-10,63.444443,63.444443,62.044445,62.950001,61.994583,25970412
2020-01-13,64.444443,65.822220,63.444443,64.944443,63.958755,38875401
2020-01-14,66.394447,67.083336,63.988888,64.277779,63.302204,39183251
2020-01-15,64.277779,65.322220,62.338886,64.055557,63.083359,31965696
2020-01-16,64.444443,64.722221,63.250000,64.666664,63.685192,23281484
2020-01-17,64.644447,65.311111,63.333332,63.933334,62.962990,26392332
2020-01-20,63.883331,69.488892,62.722221,68.444443,67.405632,44805960
2020-01-21,68.061111,68.333336,66.922218,67.583336,66.557594,25680794
2020-01-22,67.583336,74.344444,66.322220,74.344444,73.216087,62984809
2020-01-23,73.611115,76.111115,69.500000,72.222221,71.126076,64302312
2020-02-03,70.311111,79.711113,70.277779,75.199997,74.058655,94742283
2020-02-04,80.983330,82.722221,77.783333,82.722221,81.466713,64644449
2020-02-05,87.872223,90.994446,86.833336,90.994446,89.613380,95548287
2020-02-06,86.116669,94.383331,84.994446,94.383331,92.950844,104254187
2020-02-07,92.222221,94.072220,88.305557,89.000000,87.649216,81899064
2020-02-10,89.444443,93.655556,88.888885,91.811111,90.417656,67573657
2020-02-11,92.888885,93.333336,87.555557,88.000000,86.664383,61190206
2020-02-12,85.305557,89.911110,84.461113,88.694443,87.348289,58655170
2020-02-13,86.661110,88.544441,85.383331,86.855553,85.537300,56449728
2020-02-14,88.277779,88.833336,82.699997,83.277779,82.013832,79131335
2020-02-17,82.777779,86.755554,82.711113,85.611115,84.311760,62004839
2020-02-18,85.611115,88.333336,84.916664,87.011108,85.690506,50814923
2020-02-19,91.666664,91.722221,84.938889,85.111115,83.819351,75270209
2020-02-20,86.944443,91.666664,85.000000,88.888885,87.539780,93319236
2020-02-21,87.666664,90.277779,86.233330,88.833336,87.485077,60849246
2020-02-24,87.222221,88.805557,84.711113,85.783333,84.481361,65741545
2020-02-25,83.188889,91.944443,82.688889,89.916664,88.551956,92884734
2020-02-26,88.166664,89.361115,83.722221,84.922218,83.633324,60890374
2020-02-27,86.166664,87.033333,82.666664,83.044441,81.784042,59760441
2020-02-28,77.772224,80.555557,75.283333,75.372223,74.228271,91520494
2020-03-02,77.111115,78.861115,74.972221,77.772224,76.591843,57267003
2020-03-03,81.111115,83.161110,79.944443,80.988892,79.759689,53443909
2020-03-04,79.994446,81.044441,77.655556,79.833336,78.621674,37070305
2020-03-05,81.411110,82.127777,78.888885,80.677780,79.453293,40433990
2020-03-06,78.894447,81.833336,78.611115,79.733330,78.523178,28765564
2020-03-09,77.216667,78.277779,73.888885,74.216667,73.090248,52604242
2020-03-10,74.227776,78.716667,73.894447,78.055557,76.870880,52220106
2020-03-11,79.444443,82.544441,77.111115,78.205559,77.018608,60591630
2020-03-12,75.666664,75.983330,72.955559,74.577774,73.445885,59658226
2020-03-13,70.055557,74.333336,70.005554,73.222221,72.110893,48754231
2020-03-16,71.111115,71.599998,66.050003,66.183334,65.178841,87855633
2020-03-17,67.222221,68.294441,61.805553,65.555557,64.560600,70094813
2020-03-18,66.055557,68.611115,64.444443,65.211113,64.221382,55937656
2020-03-19,66.111115,66.388885,62.049999,63.994446,63.023174,59226946
2020-03-20,65.555557,66.500000,62.900002,64.550003,63.570301,39662512
2020-03-23,61.555553,61.983334,58.338886,59.444443,58.542229,54419059
2020-03-24,61.444443,62.711109,59.444443,62.227776,61.283318,51611752
2020-03-25,64.555557,67.877777,64.444443,67.211113,66.191017,68667440
2020-03-26,66.116669,67.972221,65.722221,66.444443,65.435997,34693273
2020-03-27,67.894447,68.516663,65.199997,65.961113,64.959999,31210338
2020-03-30,64.444443,67.022224,61.500000,66.272224,65.266380,46761285
2020-03-31,66.816666,68.405556,65.477776,66.616669,65.605598,34636532
2020-04-01,68.388885,69.755554,66.155556,66.883331,65.868210,53540258
2020-04-02,65.277779,68.627777,64.838890,68.605553,67.564301,37032724
2020-04-03,69.250000,69.444443,66.555557,67.372223,66.349693,32427927
2020-04-07,68.666664,70.050003,68.344444,69.188889,68.138779,32512577
2020-04-08,68.833336,69.716667,68.111115,68.311111,67.274323,21098471
2020-04-09,68.877777,69.155556,66.561111,66.788887,65.775200,28479020
2020-04-10,67.305557,68.372223,65.516663,65.805557,64.806801,26024497
2020-04-13,63.833332,64.994446,62.822224,63.727776,62.760551,22195504
2020-04-14,65.555557,70.088890,65.277779,70.088890,69.025131,69912685
2020-04-15,72.111115,73.272224,70.683334,71.305557,70.223328,57921285
2020-04-16,71.261108,74.283333,70.455559,73.611115,72.493889,38350458
